load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note,mode_req,mode_applied
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.0526315789473684,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.105263157894737,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.157894736842105,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.210526315789474,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.263157894736842,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.315789473684211,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.368421052631579,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.421052631578947,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.473684210526316,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.526315789473684,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.578947368421053,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.631578947368421,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.684210526315789,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.736842105263158,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.789473684210526,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.842105263157895,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.894736842105263,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),0.947368421052632,0
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,operatorTraining(enforceSmooth),1,0
