load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note,speed_req,speed_applied
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.4,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.431578947368421,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.463157894736842,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.494736842105263,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.526315789473684,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.557894736842105,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.589473684210526,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.621052631578947,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.652631578947368,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.684210526315789,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.715789473684211,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.747368421052632,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.778947368421053,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.810526315789474,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.842105263157895,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.873684210526316,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.905263157894737,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.936842105263158,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,0.968421052631579,0.4
1,0.4,25,0,0.24027786513628,0.107025094824826,16.7859878875614,5.06241033222935,26.9037575848487,0.4,0.600694662840701,clampToEconomicSpeed+smooth,1,0.4
