load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note
1,0.7,25,0,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,
1,0.7,25,0.0526315789473684,0.360748195456366,0.125255970531982,25.6322163432844,8.79939272205817,27.2281981094164,0.7,0.515354564937666,
1,0.7,25,0.105263157894737,0.36345869342355,0.125666591619827,25.6323043250261,8.74367123055608,27.2355095023565,0.7,0.519226704890786,
1,0.7,25,0.157894736842105,0.366169214730688,0.126077236047627,25.6323923100441,8.69382666225623,27.2428213131781,0.7,0.523098878186697,
1,0.7,25,0.210526315789474,0.368879759379513,0.126487903817113,25.6324802983384,8.64996077535548,27.2501335419125,0.7,0.526971084827875,
1,0.7,25,0.263157894736842,0.371590327371757,0.126898594930019,25.6325682899092,8.61216508992586,27.2574461885908,0.7,0.530843324816795,
1,0.7,25,0.315789473684211,0.374300918709153,0.127309309388077,25.6326562847567,8.58051998419204,27.2647592532444,0.7,0.534715598155932,
1,0.7,25,0.368421052631579,0.377011533393433,0.127720047193019,25.6327442828811,8.55509387484253,27.2720727359042,0.7,0.538587904847762,
1,0.7,25,0.421052631578947,0.379722171426331,0.128130808346578,25.6328322842825,8.53594250006663,27.2793866366016,0.7,0.542460244894759,
1,0.7,25,0.473684210526316,0.38243283280958,0.128541592850488,25.6329202889611,8.52310832233331,27.2867009553677,0.7,0.546332618299399,
1,0.7,25,0.526315789473684,0.385143517544912,0.128952400706483,25.633008296917,8.51662006554966,27.2940156922337,0.7,0.55020502506416,
1,0.7,25,0.578947368421053,0.387854225634062,0.129363231916294,25.6330963081505,8.51649239822698,27.3013308472308,0.7,0.554077465191517,
1,0.7,25,0.631578947368421,0.390564957078763,0.129774086481657,25.6331843226618,8.52272577075444,27.3086464203903,0.7,0.557949938683947,
1,0.7,25,0.684210526315789,0.393275711880749,0.130184964404305,25.6332723404508,8.53530641098302,27.3159624117433,0.7,0.561822445543927,
1,0.7,25,0.736842105263158,0.395986490041754,0.130595865685971,25.6333603615179,8.55420647823114,27.323278821321,0.7,0.565694985773934,
1,0.7,25,0.789473684210526,0.398697291563512,0.131006790328391,25.6334483858633,8.5793843717269,27.3305956491547,0.7,0.569567559376446,
1,0.7,25,0.842105263157895,0.401408116447757,0.131417738333298,25.633536413487,8.61078518558968,27.3379128952756,0.7,0.573440166353939,
1,0.7,25,0.894736842105263,0.404118964696225,0.131828709702427,25.6336244443892,8.64834129890195,27.3452305597149,0.7,0.577312806708893,
1,0.7,25,0.947368421052632,0.406829836310649,0.132239704437513,25.6337124785702,8.6919730863819,27.3525486425038,0.7,0.581185480443785,
1,0.7,25,1,0.409540731292765,0.132650722540291,25.6431154204622,8.74158973275255,27.3598671436735,0.7,0.585058187561093,
